StartSession,18:48:07.5287424
stimON,18:48:10.1667840
dotsMOVE,18:48:11.3199616
stimOFF,18:48:12.2199552
l40,18:48:12.2477568
stimON,18:48:15.9084416
dotsMOVE,18:48:16.9198720
stimOFF,18:48:17.9197440
r30,18:48:17.9217792
stimON,18:48:21.6344832
dotsMOVE,18:48:22.6195968
stimOFF,18:48:23.6445440
r30,18:48:23.6468352
stimON,18:48:27.4598656
dotsMOVE,18:48:28.4443648
stimOFF,18:48:29.4693376
l40,18:48:29.4709504
stimON,18:48:33.1869440
dotsMOVE,18:48:34.1691264
stimOFF,18:48:35.1941376
r30,18:48:35.1962496
stimON,18:48:38.7546368
dotsMOVE,18:48:39.7439872
stimOFF,18:48:40.7689728
l40,18:48:40.7714816
stimON,18:48:44.6337280
dotsMOVE,18:48:45.6187776
stimOFF,18:48:46.6437632
l40,18:48:46.6459520
stimON,18:48:50.2888832
dotsMOVE,18:48:51.2935552
stimOFF,18:48:52.2935296
r30,18:48:52.2948992
stimON,18:48:56.0536320
dotsMOVE,18:48:57.0433152
stimOFF,18:48:58.0683008
r30,18:48:58.0701440
stimON,18:49:01.8032384
dotsMOVE,18:49:02.7932672
stimOFF,18:49:03.8181376
l40,18:49:03.8200832
stimON,18:49:07.7822336
dotsMOVE,18:49:08.7679744
stimOFF,18:49:09.7930112
r30,18:49:09.7954432
stimON,18:49:13.6434560
dotsMOVE,18:49:14.6426880
stimOFF,18:49:15.6676352
l40,18:49:15.6687872
stimON,18:49:19.5654528
dotsMOVE,18:49:20.5675264
stimOFF,18:49:21.5674112
l40,18:49:21.5686144
stimON,18:49:25.4849920
dotsMOVE,18:49:26.4672768
stimOFF,18:49:27.4922624
r30,18:49:27.4936448
stimON,18:49:31.3869184
dotsMOVE,18:49:32.3671040
stimOFF,18:49:33.3920896
l40,18:49:33.3933056
stimON,18:49:37.1107456
dotsMOVE,18:49:38.0918912
stimOFF,18:49:39.1168128
r30,18:49:39.1179904
stimON,18:49:42.7961472
dotsMOVE,18:49:43.7916672
stimOFF,18:49:44.8166784
r30,18:49:44.8178944
stimON,18:49:48.7793536
dotsMOVE,18:49:49.7664384
stimOFF,18:49:50.7914240
l40,18:49:50.7926912
stimON,18:49:54.4499584
dotsMOVE,18:49:55.4413184
stimOFF,18:49:56.4662272
l40,18:49:56.4675712
stimON,18:50:00.1129728
dotsMOVE,18:50:01.1160704
stimOFF,18:50:02.1160832
r30,18:50:02.1172096
stimON,18:50:05.8939776
dotsMOVE,18:50:06.8908288
stimOFF,18:50:07.9158784
r30,18:50:07.9172864
stimON,18:50:11.7602688
dotsMOVE,18:50:12.7656192
stimOFF,18:50:13.7656704
l40,18:50:13.7677952
stimON,18:50:17.6366208
dotsMOVE,18:50:18.6414336
stimOFF,18:50:19.6403584
r30,18:50:19.6416384
stimON,18:50:23.2154880
dotsMOVE,18:50:24.2152704
stimOFF,18:50:25.2402176
l40,18:50:25.2414848
stimON,18:50:28.9254144
dotsMOVE,18:50:29.9149952
stimOFF,18:50:30.9399808
l40,18:50:30.9412224
stimON,18:50:34.5819392
dotsMOVE,18:50:35.5647744
stimOFF,18:50:36.5897600
r30,18:50:36.5910784
stimON,18:50:40.4573184
dotsMOVE,18:50:41.4396672
stimOFF,18:50:42.4645504
r30,18:50:42.4658432
stimON,18:50:46.1780096
dotsMOVE,18:50:47.1644544
stimOFF,18:50:48.1893888
l40,18:50:48.1906560
stimON,18:50:52.0580992
dotsMOVE,18:50:53.0392704
stimOFF,18:50:54.0641664
r30,18:50:54.0653824
stimON,18:50:57.9872384
dotsMOVE,18:50:58.9889920
stimOFF,18:50:59.9889280
l40,18:50:59.9907328
stimON,18:51:03.6130688
dotsMOVE,18:51:04.6137600
stimOFF,18:51:05.6137088
r30,18:51:05.6154752
stimON,18:51:09.2866432
dotsMOVE,18:51:10.2885248
stimOFF,18:51:11.2885248
l40,18:51:11.2921472
stimON,18:51:15.2283648
dotsMOVE,18:51:16.2133760
stimOFF,18:51:17.2383232
l40,18:51:17.2401920
stimON,18:51:20.9534080
dotsMOVE,18:51:21.9381760
stimOFF,18:51:22.9631360
r30,18:51:22.9644928
stimON,18:51:26.8773120
dotsMOVE,18:51:27.8628992
stimOFF,18:51:28.8879232
r30,18:51:28.8902272
stimON,18:51:32.7585408
dotsMOVE,18:51:33.7627392
stimOFF,18:51:34.7626752
l40,18:51:34.7638528
stimON,18:51:38.7127296
dotsMOVE,18:51:39.7124608
stimOFF,18:51:40.7375232
l40,18:51:40.7398656
stimON,18:51:44.4724352
dotsMOVE,18:51:45.4622592
stimOFF,18:51:46.4872448
r30,18:51:46.4885376
stimON,18:51:50.1960320
dotsMOVE,18:51:51.1870720
stimOFF,18:51:52.2120960
l40,18:51:52.2138752
stimON,18:51:56.0910208
dotsMOVE,18:51:57.0868864
stimOFF,18:51:58.1118592
r30,18:51:58.1134080
