StartSession,18:48:07.5212288
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:48:12.2476032
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:48:17.9215488
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:48:23.6466432
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:48:29.4707200
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:48:35.1959040
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:48:40.7712896
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:48:46.6456576
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:48:52.2945536
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:48:58.0699648
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:49:03.8199040
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:49:09.7952512
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:49:15.6685952
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:49:21.5684864
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:49:27.4934144
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:49:33.3931136
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:49:39.1178752
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:49:44.8177664
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:49:50.7924224
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:49:56.4673536
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:50:02.1170176
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:50:07.9169920
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:50:13.7676544
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:50:19.6414464
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:50:25.2412160
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:50:30.9409792
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:50:36.5907712
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:50:42.4655744
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:50:48.1904896
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:50:54.0651904
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:50:59.9905792
({Id=1, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=-3.5, VelYRight=0, CohRight=100}, 2),18:51:05.6152704
({Id=0, Duration=2, Size=3, Colour1=0, Colour2=1, numDots1=150, numDots2=150, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-3.5, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100}, 1),18:51:11.2919680
